Date,Open,High,Low,Close,Volume
9-Jan-17,41.17,41.66,41.12,41.34,7797445
6-Jan-17,41.25,41.34,40.85,41.23,6087644
5-Jan-17,40.31,41.37,40.24,41.34,13122100
4-Jan-17,39.00,40.25,38.92,40.06,11759453
3-Jan-17,39.11,39.18,38.64,38.90,6084699
30-Dec-16,38.72,39.00,38.43,38.67,6432792
29-Dec-16,38.76,38.93,38.48,38.64,4170497
28-Dec-16,39.12,39.22,38.71,38.73,4428368
27-Dec-16,38.59,39.06,38.50,38.92,4240285
23-Dec-16,38.46,38.81,38.37,38.66,3841245
22-Dec-16,38.69,38.79,38.26,38.50,11685650
21-Dec-16,39.08,39.32,38.97,39.15,8296515
20-Dec-16,38.40,39.18,38.24,39.16,25008427
19-Dec-16,38.66,38.79,38.27,38.42,13615511
16-Dec-16,38.62,39.22,38.42,38.61,21694081
15-Dec-16,40.00,40.00,38.25,38.41,43669990
14-Dec-16,41.44,41.53,40.83,40.91,19555694
13-Dec-16,41.35,41.79,41.14,41.47,6564552
12-Dec-16,41.45,41.53,41.12,41.30,4451709
9-Dec-16,41.52,41.80,41.44,41.76,6836112
8-Dec-16,40.66,41.60,40.42,41.41,9171707
7-Dec-16,39.98,40.57,39.75,40.52,7208492
6-Dec-16,40.31,40.42,39.88,39.97,6987846
5-Dec-16,40.02,40.39,39.85,40.20,4408407
2-Dec-16,39.77,40.32,39.58,40.07,8588544
1-Dec-16,41.00,41.04,39.53,39.63,12624139
30-Nov-16,41.62,41.67,40.88,41.02,7644360
29-Nov-16,41.43,41.83,41.12,41.60,13085981
28-Nov-16,40.85,41.70,40.74,41.45,6836364
25-Nov-16,41.08,41.08,40.71,40.87,2586908
23-Nov-16,40.91,40.98,40.54,40.96,3719257
22-Nov-16,41.20,41.40,40.83,41.01,8881541
21-Nov-16,41.44,41.48,40.94,41.11,11355856
18-Nov-16,41.48,41.65,40.90,41.19,8138928
17-Nov-16,41.34,41.65,41.20,41.45,8692013
16-Nov-16,40.10,41.05,40.10,40.98,15609553
15-Nov-16,39.61,40.45,39.58,40.21,13364918
14-Nov-16,40.36,40.39,38.87,39.30,12692293
11-Nov-16,39.84,40.52,39.37,40.42,15178907
10-Nov-16,41.55,41.65,39.54,40.16,16443786
9-Nov-16,40.44,41.39,40.22,41.21,24000065
8-Nov-16,40.97,41.28,40.68,41.16,4229743
